Pytanie;A;B;C;D;E;F;G;Poprawne
"Oracle database has been successfully running in ARCHIVE mode and suggested backups were created. After the failure of a disk containing data files:";"The database can be recovered to the moment of last whole backup of a database";"The database can be recovered till the moment immediately preceding disk failure";"Backup is not needed to recover the database";;;;;2
"W przypadku wykonania polecenia ROLLBACK:";"Zmiany wprowadzone we wszystkich transakcjach w trakcie realizacji (jeszcze nie zakończonych poleceniem COMMIT) zostaną wycofane.";"Zmiany wprowadzone w innych transakcjach zakończonych poleceniem COMMIT mogą być utracone - jeśli były zapisane tylko w buforach pamięciowych,";"Zmiany wprowadzone w bieżącej transakcji zostaną wycofane,";"Zmiany wprowadzone w innych transakcjach zakończonych poleceniem COMMIT zostaną wycofane.";;;;3
"Indeks powinien zostać utworzony:";"Zawsze dla klucza głównego (ewentualnie może być tworzony automatycznie przez system)";"Zawsze na kolumnach dwuwartościowych";"Zawsze na kolumnach klucza obcego - jeden indeks dla jednego klucza obcego danej tabeli, przy założeniu selektywności klucza obcego";"Zawsze na kolumnach często wykorzystywanych w operacjach wyszukiwania";"Zawsze na złożonych (wielokolumnowych) kluczach obcych";;;1,3
"W celu składowania danych w platformie Apache Hadoop przy założeniu użycua wyłączne tej platformy (tzn. bez jednoczesnego użycia np. platform NoSQL) konieczne jest";"określenie struktury tabeli, w której będą zapisywane dane z podaniem nazw kolumn i typów danych dla tych kolumn";"określenie nazwy i ścieżki dostępu do pliku do którego mają być zapisane dane";"wybrane formatu pliku, do którego mają być zapisywane dane, gdyż, nie jesy on narzucany przez Apache Hadoop";"określenie tylko nazwy tabeli i nazw rodzin kolumn, w których będą zapisywane dane bez podawania nazw kolumn i typów tych kolumn";;;;2,3
"Indeks powinien zostać utworzony:";"Na kolumnach kluczy głównych - po jednym indeksie na klucz główny,";"Na kolumnach klucza głównego - po jednym indeksie na jedną kolumnę klucza głównego danej tabeli,";"Zawsze na kolumnach trójwartościowych; Zawsze na kolumnach często wykorzystywanych w operacjach wyszukiwania";"Na kolumnach klucza obcego - po jednym indeksie na dany klucz obcy danej tabeli, przy założeniu wysokiej selektywności klucza obcego";"Na kolumnach często wykorzystywanych w operacjach wyszukiwania - zależnie od ich selektywności.";;;1,4,5
"Normalizacja tabeli do drugiej postaci normalnej:";"Nie pozwala na zależność wartości kolumny od innych kolumn nie wchodzących w skład klucza głównego,";"Zgodnie z dobrymi praktykami, może być pominięta w systemach typu OLAP,";"Ma na celu m.in. wyeliminowanie anomalii wynikających z redundancji w bazie danych,";"Może powodować zbędne tworzenie dodatkowych tabel,";"Zgodnie z dobrymi praktykami, może być pominięta w systemach typu OLTP.";;;2,3
"Utworzono tabele: PERSONS, z kluczem głównym PERSON_ID oraz BUS LINES z kluczem głównym BUS_ID. Tabele te opisują osoby dojeżdżające do pracy komunikacją miejską oraz linie autobusowe. Ponadto stworzono tabelę PERSON BUSES z kolumnami: PERSON_ID i BUS_ID, której celem jest zapewnienie informacji o liniach autobusowych, typowo wykorzystywanych przez daną osobę do dojazdu do pracy (czyli opisanie poprawnych kombinacji: osoba, linia). W opisanym modelu danych:";"Tabela PERSON_BUSES jest zbędna";"Należy utworzyć wspólny indeks dla kolumn PERSON_ID oraz BUS_ID";"PERSON_ID to klucz obcy";"BUS_ID to klucz obcy";"W tabeli PERSON_BUSES są dwa klucze główne; Należy stworzyć unikalny indeks dla kolumny BUS_ID; Należy stworzyć dwa indeksy typu zgrupowanego (ang. clustered) w tabeli PERSON_BUSES";;;2,3,4
"Zestawienie połączenia z aplikacji Java z bazą danych udostępnianą w modelu klient-serwer (np. z bazą MS SQL Server lub Oracle) wymaga:";"Znajomości języka SQL,";"Utworzenia połączenia do bazy danych.";"Pomyślnego wykonania autoryzacji.";"Wskazania lokalizacji sieciowej systemu DBMS.";"Wskazania sterownika wykorzystywanego do nawiązania połączenia.; Określenia parametrów połączenia sieciowego.";;;2,3,4,5
"Mapowanie obiektowo-relacyjne:";"Jest stosowane w obiektowych bazach danych,";"Może ograniczyć ilość tworzonego przez programistę aplikacji kodu SQL,";"Całkowicie eliminuje konieczność tworzenia kodu SQL w przypadku złożonych raportów,";"Jest rozwiązaniem wygodnym, ale utrudnia uzyskanie koniecznej wydajności obsługi transakcji.";;;;2,4
"Tabela zewnętrzna bazy danych Oracle:";"Jest tym samym, co tabela tymczasowa bazy danych";"To sposób na wykonywanie zapytań SQL na danych zapisanych w zewnętrznym pliku tekstowym,";"Identycznie jak tabela tymczasowa może być zasilona wynikiem zapytania SQL SELECT kierowanego do standardowej tabeli bazy danych,";"Jest rozwiązaniem zalecanym w zastępstwie standardowych tabel dla utrzymywania głównych danych bazy.";;;;2
"Nawiązanie nowego połączenia sieciowego z bazą danych Oracle:";"Wymaga obecności procesu listenera";"Musi wykorzystywać protokół TCP/IP";"Może odwoływać się do różnych procesów listenera, a rozwiązanie takie sprzyja wysokiej dostępności";"Może być realizowane za pośrednictwem różnych interfejsów sieciowych ( i np. różnych adresów IP), a rozwiązanie takie sprzyja wysokiej dostępności";"nie powinno być realizowane z wykorzystaniem procesu listenera";;;1,3,4
"Z punktu widzenia fizycznej alokacji danych na dyskach, baza danych Oracle składa się z:";"Przestrzeni tabel, a te z plików z logami transakcyjnymi,";"plików z danymi, a te z przestrzeni tabel.";"segmentów,";"plików poszczególnych tabel i widoków,";"Przestrzeni tabel, a te z plików z danymi,; danych logów transakcyjnych zapisanych w plikach Spfile.";;;5
"Podjęto decyzję o indeksacji danych adresowych miejscowość, ulica, nr_posesji. W tej sytuacji";"utworzenie jednego indeksu (miejscowos, ulica, nr_posesji) jest rownoważne z utworzeniem dwoch indeksow (miejscowosc) oraz (ulica, nr_posesji)";"z punktu widzenia sortowania preferowane jest utworzenie jednego indeksu miejscowosc, ulica, nr_posesji)";"z punktu widzenia sortowania preferowane jest utworzenie indeksu (miejscowosc) oraz indeksu (ulica, nr_posesji)";;;;;2
"W bazie danych Oracle, odtwarzanie bazy danych po uszkodzeniu jednego plików z danymi, wymagać może użycia";"plików kopii bezpieczeństwa";"plików logów transakcyjnych w trybie on line (ang rede log)";"plików archiwalnych logów transakcyjnych (ang archive log)";;;;;1,3
"Zestawienie połączenia z aplikacji Java, wykorzystującej połączenie JDBC, z bazą danych udostępnianą w m klient-serwer (np. z bazą MS SQL Server lub Oracle) wymaga:";"Znajomości języka SQL,";"Pomyślnego wykonania autoryzacji,";"Wskazania lokalizacji sieciowej systemu DBMS,";"Wskazania sterownika wykorzystywanego do nawiązania połączenia,";"Określenia parametrów połączenia sieciowego.";;;2,3,4,5
"To recover Oracle database within a short time, the following files can be useful:";"whole backup";"online transaction logs";"archived transaction logs";"incremental logs";"incremental backups";;;2,3
